NOM DU MUSEE;ADR;CP;VILLE;SITWEB;FERMETURE ANNUELLE;PERIODE OUVERTURE;JOURS NOCTURNES
Musée de la Bande Dessinée - Centre National de la Bande Dessinée et de l'Image;"121, Rue de Bordeaux
B.P. 72308";16023;ANGOULEME Cedex;www.cnbdi.fr ou www.alienor.org;1er janvier, 1er mai, 25 décembre;Ouvert de septembre à juin du mardi au vendredi de 10h à 18h, samedi, dimanche et jours fériés de 14h à 18h,  en juillet-août de 10h à 19h, samedi, dimanche, 14 juillet et 15 août de 14h à 19h;
Musée des Arts du Cognac;"Les Remparts
Place de la Salle Verte";16100;COGNAC;www.musees-cognac.fr;1er janvier, 1er mai, 1er novembre, 25 décembre;Ouvert en juillet-août du mardi au dimanche de 10h à 18h30, en mai, juin et septembre du mardi au vendredi de 11h à 18h et samedi et dimanche de 13h à 18h, d'octobre à avril du mardi au dimanche de 14h à 17h30;
Musée Municipal de Cognac;48, Bd Denfert Rochereau;16100;COGNAC;www.musees-cognac.fr;1er janvier, 1er mai, 1er novembre, 25 décembre;Ouvert en juillet-août du mercredi au lundi de 10h à 18h30, en mai, juin et septembre lundi, mercredi au vendredi de 11h à 18h et le samedi et dimanche de 13h à 18h, d'octobre à avril du mercredi au lundi de 14h à 17h30;
Musée de la Mytiliculture;Parvis de l'Eglise;17137;ESNANDES;www.maison-baiemaraispoitevin.fr;;Ouvert en juillet-août tous les jours de 10h à 18h, durant les vacances scolaires (toutes zones) et en septembre tous les jours de 10h à 12h30 et de 13h30 à 18h, de mai à juin et octobre (hors vacances) mercredi, samedi et dimanche de 14h à 18h;
Musée Régional de Fouras;"B.P. 75
Place du Sémaphore";17450;FOURAS;http://musee.fouras.assoc.pagespro-orange.fr/;;Ouvert tous les samedis, dimanches et jours fériés de 14h30 à 17h30 hors saison, durant les vacances scolaires toutes zones du mardi au dimanche de 14h30 à 17h30, du 1er juin au 15 septembre de 10h à 12h et de 15h à 18h30 et le lundi après-midi;
Musée Napoléonien et Africain;Rue Napoléon;17123;ILE D'AIX;www.musees-nationaux-napoleoniens.org/index.htm;1er janvier, 25 décembre;Ouvert du 1er avril au 30 septembre tous les jours de 9h30 à 12h et de 14h à 18h, du 1er au 31 octobre du mercredi au lundi de 9h30 à 12h et de 14h à 18h, du 1er novembre au 31 mars du mercredi au lundi de 9h30 à 12h et de 14h à 17h;
Muséum d'Histoire Naturelle;28, Rue Albert 1er;17000;LA ROCHELLE;www.museum-larochelle.fr;25 décembre, 1er janvier et 1er mai;Ouvert d'octobre à mi mai du mardi au vendredi de 9h à 18h, samedi dimanche et jours fériés de 14h à 18h, 1er samedi du moi de 14h à 21h, 1er dimanche du mois de 9h à 18h, et de mi-mai à septembre du mardi au vendredi de 10h à 19h, samedi dimanche et jour;Premiers samedis de 10h à 21h de janvier à juin
Musée Protestant;2, Rue Saint-Michel;17000;LA ROCHELLE;www.protestantisme-museelarochelle.fr;;Ouvert du 22 juin au 21 septembre du lundi au samedi de 14h30 à 18h, et sur rendez-vous en dehors de la saison;
Musée d'Orbigny-Bernon;2, Rue Saint-Côme;17000;LA ROCHELLE; www.alienor.org;;Ouvert du 1er octobre au 30 juin le lundi, mercredi, jeudi, vendredi de 9h30 à 12h30 et de 13h30 à 17h, week-end de 14h à 18h et du 1erjuillet au 30 septembre de 10h à 13h et de 13h45 à 18h, week-end de 14h à 18h;
Musée du Nouveau Monde;10, Rue Fleuriau;17000;LA ROCHELLE;www.alienor.org;;Ouvert du 1er octobre au 30 juin le lundi, mercredi, jeudi, vendredi de 9h30 à 12h30 et de 13h30 à 17h, week-end de 14h à 18h et du 1erjuillet au 30 septembre de 10h à 13h et de 13h45 à 18h, week-end de 14h à 18h;
Musée des Beaux-Arts;28, Rue Gargoulleau;17000;LA ROCHELLE;www.alienor.org;;Ouvert du 1er octobre au 30 juin le lundi, mercredi, jeudi, vendredi de 9h30 à 12h30 et de 13h30 à 17h, week-end de 14h à 18h et du 1erjuillet au 30 septembre de 10h à 13h et de 13h45 à 18h, week-end de 14h à 18h;
Musée Cappon;"62, Rue d'Aligre
BP 16";17230;MARANS;www.alienor.org;Jours fériés;Ouvert du 1er janvier au 31 mars et du 1er octobre au 31 décembre du lundi au mercredi et le vendredi de 9h30 à 12h30 et de 14h à 17h30 et le jeudi de 9h30 à 12h30, du 1er avril au 30 juin et en septembre du lundi au mercredi et le vendredi de 9h30 à 12h3;
Musée National de la Marine;"Hôtel de Cheusses
1, Place de La Galissonnière";17300;ROCHEFORT;www.musee-marine.fr/rochefort;Du 16 décembre au 31 janvier, 1er mai (Hôtel de Cheusses) - Janvier, 1er mai 25 décembre pour l'Ancienne école de Médecine;"Ouvert tous les jours d'octobre à avril de 13h30 à 18h30 et de mai à juin de 10h à 18h30, de juillet à septembre de 10h à 20h pour l'Hôtel de Cheusses.
Visites guidées à 10h30 - Visites découvertes (30 mn) pour l'Ancienne école (14h, 15h, 16h)";Mai à septembre ouvert jusqu'à 20h
Hôtel Hèbre de Saint-Clément - Musée d'Art et d'Histoire;63-65 avenue de Gaulle;17300;ROCHEFORT;Site de la ville;Janvier, 1er mai, 25 décembre;Ouvert du 1er février au 14 juin et du 1er octobre au 31 décembre du mardi au vendredi de 10h30 à 12h30 et de 14h à 18h et le week-end de 14h à 18h. Du 15 juin au 30 septembre  du mardi au vendredi de 10h30 à 12h30 et de 14h à 19h et le week-end de 14h à;
Musée de la Maison de Pierre Loti;141, Rue Pierre Loti;17300;ROCHEFORT;www.maisondepierreloti.fr/;Janvier, 1er mai, 25 décembre;Ouvert de février à mai et d'octobre à décembre de 9h30 à 11h30 (groupes) de 14h à 16h (individuel);
Musée Municipal des Cordeliers;9, Rue Régnaud;17400;SAINT-JEAN-D'ANGELY;www.angely.net;;Ouvert de mi septembre à mi juin du mercredi au vendredi de 14h à 18h samedi et dimanche et jours fériés de 15h à 18h30, et de mi juin à mi septembre du mardi au dimanche et jours fériés de 10h30 à 12h30 et de 14h30 à 19h, nocturne le samedi à 20h;Samedi jusqu'à 20h
Musée Ernest Cognacq;"Hôtel de Clerjotte
13, avenue Victor Bouthillier";17410;SAINT-MARTIN-DE-RE;www.musee-ernest-cognacq.fr;1er janvier, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert du 1er octobre au 31 mars de 10h à 12h et de 14h à 17h, le week-end et jours fériés de 14h à 17h - du 1er avril au 30 juin, et septembre de 10h à 13h et de 14h à 18h, le week-end et jours fériés de 14h à 18h en juillet-août de 10h à 19h;
Musée du Présidial;28, Rue Victor Hugo;17100;SAINTES;www.ville-saintes.fr ou www.alienor.org;;;
Musée Archéologique;Esplanade André Malraux;17100;SAINTES;www.alienor.org;1er janvier, 1er mai, 1er novembre, 25 décembre;Ouvert du 1er avril au 30 septembre du mardi au samedi de 10h à 12h30 et de 13h30 à 18h, le dimanche de 14h à 18h, du 1er octobre au 31 mars du mardi au samedi de 13h30 à 17h;
Musée de l'Echevinage;29 ter, Rue Alsace-Lorraine;17100;SAINTES;www.ville-saintes.fr ou www.alienor.org;1er janvier, 1er mai, 1er novembre, 25 décembre;Ouvert du 1er avril au 30 septembre du mardi au samedi de 10h à 12h30 et de 13h30 à 18h, le dimanche et jours fériés de 14h à 18h, du 1er octobre au 31 mars du mardi au dimanche de 13h30 à 17h;
Musée Dupuy-Mestreau;4 rue Monconseil;17100;SAINTES;www.alienor.org;1er janvier, 1er mai, 1er novembre, 25 décembre;Ouvert du 1er avril au 30 septembre du mardi au samedi de 10h à 12h30 et de 13h30 à 18h, le dimanche et jours fériés de 14h à 18h, du 1er octobre au 31 mars du mardi au dimanche de 14h à 17h, jours fériés de 14h à 17h;
Musée de l'Ile d'Oléron;9, Place Gambetta;17310;ST-PIERRE D'OLERON;www.oleron-nature-culture.com ou www.alienor.org;1er janvier, 1er mai, 25 décembre;Ouvert du 1er novembre au 31 mars du mardi au dimanche de 14h à 18h, du 1er avril au 30 juin et du 1er septembre au 31 octobre tous les jours de 10h à 12h et de 14h à 18h,  juillet-août tous les jours de  10h à 19h;
Musée des Tumulus de Bougon;"Lieu dit ""La Chapelle""";79800;BOUGON;www.alienor.org ou www.deux-sevres.com/culture/musee-bougon/index.asp;Janvier sauf le dimanche;Ouvert le dimanche en janvier de 13h à 17h30, et de février à avril et d'octobre à décembre le mardi, jeudi et vendredi de 10h à 13h à 17h30 et le mercredi, samedi et dimanche de 13h à 17h30, et de mai à septembre de 10h à 18h30, le mercredi de 13h à 18h3;
Musée Municipal;Place de l'Hôtel de Ville;79300;BRESSUIRE;www.alienor.org;Janvier;Ouvert samedi et dimanche de 14h à 18h. Sur rdv de 9h à 11h30 et de 13h30 à 17h;
Musée d'Histoire Naturelle;28, avenue de Limoges;79000;NIORT;;;;
Musée ethnographique et archéologique du Donjon;Rue Duguesclin;79000;NIORT;www.alienor.org;;Ouvert du mardi au dimanchei de 10h à 12h30 et de 14h à 18h du 1ermai au 15 septembre et de 10h à 12h30 et de 14h à 17h du 16 septembre au 30 avril (musée ouvert ponctuellement lors de expositions temporaires ou pendant les vacances scolaires);
Musée Bernard d’Agesci;28, avenue de Limoges;79000;NIORT;www.agglo-niort.fr/-Musee-Bernard-d-Agesci;;Ouvert du mardi au dimanche de 10h à 17h du 16 septembre au 30 avril et de 10h à 18h du 1er mai au 15 septembre;
Musée d'Art et d'Histoire Georges Turpin;1, Rue de la Vau Saint-Jacques;79200;PARTHENAY;www.alienor.org ou www.cc-parthenay.fr/Patrimoine/Musee/presentation/present-2.htm;Jours fériés;Ouvert du mercredi au vendredi de 10h à 12h et de 14h à 18h, le dimanche de 14h30 à 18h et le samedi de juin à septembre de 14h30 à 18h;Les premiers Vendredis de chaque mois jusqu'à 20h
Musée - Conservatoire du Machinisme et des Pratiques Agricoles;Aire Poitou-Charentes de Vouillé Aiffres;79230;PRAHECQ;http://museeruralies.free.fr;;;
Musée Henri Barré;"Mairie de Thouars
B.P. 183";79103;THOUARS;www.ville-thouars.fr/vah/;;Ouvert en avril, mai et octobre les week-ends et jours fériés de 14h30 à 18h30, du 1er juin au 30 septembre du mardi au dimanche de 14h30 à 18h30. Visite guidée sur rdv toute l'année;
Musée Municipal de l'Hôtel de Sully;14, Rue Sully;86100;CHATELLERAULT;www.alienor.org;;;
Musée de la Moto, de l'Automobile et du Vélo;"La Manu
3, Rue Clément Krebs";86100;CHATELLERAULT;www.alienor.org;Janvier, 1er mai, le 25 décembre;Ouvert du 1er février au 30 juin et du 22 septembre au 31 décembre du mercredi au dimanche de 14h à 18h, du 1er juillet au 21 septembre  du mercredi au lundi de 10h à 12h et de 14h à 18h. Ouverture le lundi toute la journée, du mercredi au samedi le matin;
Musée des Traditions Populaires et d'Archéologie;"3, Rue St-Pierre
B.P. 64";86300;CHAUVIGNY;www.chauvigny-patrimoine.fr;20 décembre au 3 janvier;Ouvert de novembre à mars samedi et dimanche de 14h à 18h30, du 1er avril au 14 juin et 1er septembre au 31 octobre tous les jours 14h à 18h, du 15 juin au 31 août du lundi au vendredi de 10h à 12h30 et de 14h30 à 18h30, le samedi de 14h30 à 18h30, le dim;
Musée Municipal de Civray;"Office du tourisme
Place du Général Leclerc";86400;CIVRAY;;;Ouvert en juillet-août du lundi au samedi de 9h30 à 12h30 et de 14h à 18h, le reste de l'année mardi, vendredi de 9h30 à 12h30 et de 14h à 18h samedi de 9h30 à 12h30 de mars à juin, septembre et novembre lundi et jeudi de 9h30 à 12h30 et de 14h à 18h;
Musée Charbonneau-Lassay;Rue du Martray;86200;LOUDUN;www.alienor.org;;Ouvert mercredi, samedi et dimanche de 15h à 18h, vacances de Pâques, juillet-août du mercredi au lundi de 15h à 19h;
Musée de Préhistoire Raymond Touchard;"La Sabline
21, Route de Montmorillon
BP 23
B.P. 23";86320;LUSSAC-LES-CHATEAUX;www.lasabline.fr ou www.lussac-les-chateaux.fr;1er janvier, 1er Mai, 8 Mai, 1er et 11 novembre et  25 décembre;Ouvert de janvier à mars, d'octobre à décembre le mercredi et samedi de 10h à 12h et de 14h à 17h, d'avril à juin et septembre mercredi et samedi de 10h à 12h et de 14h à 17h et jeudi, vendredi et dimanche de 14h à 17h, en juillet-août du mardi au dimanch;
Musée Municipal de la Maison-Dieu;6, Rue des Augustins;86500;MONTMORILLON;www.montmorillon.fr;;;
Musée de l'hypogée des Dunes;101 Rue du Père-de-la-Croix;86000;POITIERS;www.musees-poitiers.org;;;
Musée Rupert de Chièvres;9, Rue Victor Hugo;86000;POITIERS;www.musees.poitiers.org ou www.alienor.org;;;
Musée Sainte-Croix;3 bis, Rue Jean Jaurès;86000;POITIERS;www.musees-poitiers.org ou www.alienor.org;Jours fériés sauf 11 novembre, jeudi de l'Ascension, 14 juillet et 15 août;Ouvert du 1er octobre au 31 mai le mardi de 10h à 17h, du mercredi au vendredi de 10h à 12h et de 13h15 à 17, le samedi et dimanche de 14h à 18h, du 1er juin au 30 septembre du mardi au vendredi de 10h à 12h et de 13h15 à 18h, le samedi et dimanche de 10h;Mardi jusqu'à 20h de juin à août
Collection d'Histoire Naturelle;"1, Place de la Cathédrale
B.P. 80964";86038;POITIERS Cedex;www.maison-des-sciences.org/;;Ouvert du mardi au vendredi de 9h30 à 18h30, samedi, dimanche, lundi et certains  jours fériés de 14h à 18h30;
Musée du baptistère Saint-Jean;"Société des Antiquaires de l'Ouest
B.P. 179";86004;POITIERS Cedex;www.musees-poitiers.org ou www.alienor.org;25 décembre, 1er janvier, 1er mai;Ouvert du 1er avril au 30 septembre de 10h30 à 12h30 et de 15h à 18h du mercredi au lundi en juillet-août tous les jours de 10h30 à 12h30 et de 15h à 18h et du 1er octobre au 31 mars tous les jours de 14h30 à 16h30;
Musée de la vallée;"Villa ""La Sapinière""
10, Avenue de la Libération";4400;BARCELONNETTE;site de la ville - www.barcelonnette.com;Du 19 novembre au 19 décembre inclus et 1er mai, 25 décembre et 1er janvier;Ouvert du mercredi au samedi de 14h30 à 18h hors vacances scolaires. Du 15 juin au 6 juillet et du 1er au 14 septembre du mercredi au dimanche de 14h30 à 18h, du 7 juillet au 31 août tous les jours de 10h à 12h et de 14h30 à 18h30;
Musée Gassendi;64, Bd Gassendi;4000;DIGNE-LES-BAINS;www.musee-gassendi.org;Entre Noël et le Jour de l'an et les jours fériés en hiver;Ouvert du mercredi au lundi du 1er avril au 30 septembre de 11h à 19h et du 1er octobre au 31 mars de 13h30 à 17h30;
Musée Municipal;1, Place du Bourguet;4300;FORCALQUIER;www.ville-forcalquier.fr/service-culturel.html;;Ouvert 3 jours par semaine, lundi, mercredi et vendredi de 15h à 18h uniquement en été;
Musée de Salagon;Prieuré de Salagon;4300;MANE;www.musee-de-salagon.com;A partir du 16 décembre et en janvier;Ouvert tous les jours de février à avril, octobre à 15 décembre de 14h à 18h, en mai et septembre de 10h à 19h, de  juin à août de 10h à 20h;
Musée de la Faïence;Espace Christiane Vivier;4360;MOUSTIERS-STE-MARIE;http://www.moustiers.eu/?Le-musee#;Janvier;Ouvert tous les jours en juillet-août de 10h à 12h30 et de 14h à 19, d'avril à octobre du mercredi au lundi de 10h à 12h30 et de 14h à 18h, de novembre à décembre et de février à mars de 14h à 17h les week-ends et vacances scolaires zone B;
Musée départemental de préhistoire;Route de Montmeyan;4500;QUINSON;www.museeprehistoire.com;16 décembre au 31 janvier inclus;Ouvert en février-mars de 10h à 18h, avril à juin de 10h à 19h, juillet-août tous les jours de 10h à 20h, septembre de 10h à 19h, octobre à mi-décembre de 10h à 18h;jusqu'à 20h en juillet-août
Musée Archéologique;Mairie de Riez;4500;RIEZ-LA-ROMAINE;;;Fermé pour travaux en 2012;
Musée du vieux Sisteron;"Place de la République
B.P. 100";4200;SISTERON;;;Ouvert en juillet-août du mardi au samedi de 10h à 12h et de 14h à 18h30;
Musée archéologique;Mairie de Vachères;4110;VACHERES;;Janvier;Ouvert tous les jours de 15h à 18h en juillet-août et d'avril au 11 novembre le mercredi et dimanche. Toute l'année sur rdv;
Musée d'Histoire et d'Archéologie;Bastion Saint-André;6600;ANTIBES;www.antibes-juanslespins.com/fr/culture/musees;1er janvier, 1er mai, 1er novembre, 25 décembre;Ouvert du mardi au dimanche du 16 septembre au 14 juin de 10h à 13h et de 14h à 17h et du 15 juin au 15 septembre de 10h à 12h et de 14h à 18h;jusqu'à 20h les mercredis et vendredis en juillet-août
Musée Picasso;Place Mariejol;6600;ANTIBES;www.antibes-juanlespins.com;1er janvier, le 1er mai, le 1er novembre et le 25 décembre;Ouvert du 16 septembre au 14 juin de 10h à 12h et de 14h à  18h, du  15 juin au 15 septembre de 10h à 18h. Nocturnes en juillet et août le mercredi et le vendredi jusqu’à 20h;mercredi et vendredi jusqu'à 20h en juillet-août
Musée d'Histoire Locale;9, Rue Saint-Sébastien;6410;BIOT;http://musee-de-biot.fr/;;Ouvert de juillet à septembre de 10h à 18h du mardi au dimanche. En hiver de 10h à 18h les jeudi et vendredi et de 14h à 18h les mercredi, samedi et dimanche;
Musée Fernand Léger;255 Chemin du Val de Pome;6410;BIOT;www.musee-fernandleger.fr ou http://www.musees-nationaux-alpesmaritimes.fr;1er janvier, 1er mai, 25 décembre;Ouvert de 10h à 17h de novembre à avril et de 10h à 18h de mai à octobre;
Musée Renoir;Chemin des Collettes;6800;CAGNES-SUR-MER;www.cagnes-tourisme.com/renoir ou www.chez.com/renoir/cagnes.htm;1er janvier, 1er mai, 25 décembre et une semaine en décembre;Ouvert d'octobre à mars du mercredi au lundi de 10h à 12h et de 14h à 17h, d'avril à mai de 10h à 12h et de 14h à 18h, de juin à septembre de 10h à 18h;
Musée-Château de Cagnes;"7, Place Grimaldi
Haut de Cagnes";6800;CAGNES-SUR-MER;Site de la ville;1er janvier, 25 décembre - une semaine au début de décembre;Ouvert d'octobre à mars du mercredi au lundi de 10h à 12h et de 14h à 17h, d'avril à juin et septembre de 10h à 12h et de 14h à 18h, en juillet-août de 10h à 13h et de 14h à 18h;
Musée de la Castre;Le Suquet;6400;CANNES;Site de la ville;1er janvier, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert d'octobre à mars de 10h à 13h et de 14h à 17h, d'avril à juin et septembre de 10h à 13h et de 14h à 18h, juillet-août tous les jours de 10h à 19h;Mercredi jusqu'à 21h en juin, juillet, août et septembre
Musée de la Mer;Ile-Sainte-Marguerite;6400;CANNES;Site de la ville;1er janvier, 1er mai, 1er et 11 novembre, 25 décembre;Ouvert d'octobre à mars de 10h30 à 13h15 et de 14h15 à 16h45, d'avril à mai de 10h30 à 13h15 et de 14h15 à 17h45, de juin à septembre tous les jours de 10h à 17h45;
Villa-Musée Jean-Honoré Fragonard;23, Boulevard Fragonard;6130;GRASSE;www.museesdegrasse.com;1er janvier, 1er mai, 25 décembre - 3 dernières semaines de Novembre;Ouvert de mai à septembre (été) de 10h à 19h et d'octobre à avril (hiver) de 11h à 18h;
Musée International de la Parfumerie;2, Boulevard du Jeu de Ballon;6130;GRASSE;www.museesdegrasse.com;1er janvier, 1er mai, 25 décembre - Novembre;Ouvert de mai à septembre (été) de 10h à 19h et d'octobre à avril (hiver) de 11h à 18h;samedi
Musée d'Art et d'Histoire de Provence;2, Rue Mirabeau;6130;GRASSE;www.museesdegrasse.com;3 dernières semaines de Novembre - 1er janvier, 1er mai, 25 décembre;Ouvert de mai à septembre de 10h à 19h et octobre à avril de 11h et 18h;
Musée Bonnard;16 bd Sadi Carnot;6110;LE CANNET;www.museebonnard.fr;1er janvier, 1er mai, 1er novembre et 25 décembre;Ouvert du mardi au dimanche de la mi-octobre à mi-avril de 10h à 18h et de mi-avril à mi-octobre de 11h à 20h;Jeudi jusqu'à 20h ou 21h selon saison
Musée des Beaux-Arts;3, Avenue de la Madone;6500;MENTON;Site de la ville;1er janvier, 1er mai, 11 novembre, 25 décembre;Ouvert du mercredi au lundi de 10h à 12h et de 14h à 18h;
Musée Jean Cocteau Collection Séverin Wunderman;2, Quai de Monléon;6500;MENTON;http://museecocteaumenton.fr;1er janvier, 1er mai, 1er novembre et 25 décembre;Ouvert du mercredi au lundi de 10h à 18h;
Musée de Préhistoire Régionale;Rue Lorédan Larchey;6500;MENTON;Site de la ville;1er janvier, 1er mai, 1er novembre et 25 décembre;Ouvert du mercredi au lundi de 10h à 12h et de 14h à 18h;
Muséum d'Histoire Naturelle;60  Boulevard Risso;6300;NICE;www.mhnnice.org ou www.nice-coteazur.org;Certains jours fériés;Ouvert du mardi au dimanche de 10h à 18h;
Musée Départemental des Arts Asiatiques;405, Promenade des Anglais - Arénas;6200;NICE;www.arts-asiatiques.com;1er janvier, 1er mai et 25 décembre;Ouvert du mercredi au lundi de mai à mi-octobre de 10h à 18h et de mi-octobre à avril de 10h à 17h;
Musée Matisse;164, Avenue des Arènes de Cimiez;6000;NICE;www.musee-matisse-nice.org;1er janvier, dimanche de Pâques, 1er mai et 25 décembre;Ouvert de 10h à 18h du mercredi au lundi;
Musée d'Art Moderne et d'Art Contemporain;Promenade des Arts;6300;NICE;www.mamac-nice.org;1er janvier, le dimanche de Pâques, le 1er mai, le 25 décembre;Ouvert du mardi au dimanche de 10 h à 18 h;
Musée National Message Biblique Marc Chagall;Avenue du Docteur Menard;6000;NICE;www.musees-nationaux-alpesmaritimes.fr;1er janvier, 1er mai, 25 décembre;Ouvert de novembre à avril de 10 h à 17 h et de mai à octobre de 10 h à 18 h;
Musée du Vieux-Logis de Nice;59, Avenue Saint Barthélémy;6000;NICE;Site de la ville de Nice;1er janvier, le dimanche de Pâques, 1er mai, 25 décembre;Ouvert le mercredi  de 15h à 18h;
Musée d'Art et d'Histoire;65, Rue de France;6000;NICE;http://www.nice.fr/mairie_nice_1489.html;1er janvier, le dimanche de Pâques, 1er ami, 25 décembre;Ouvert du mercredi au lundi de 10h à 18h;
Musée des Beaux-Arts Jules Chéret;33, Avenue des Baumettes;6000;NICE;www.musee-beaux-arts-nice.org;1er janvier, dimanche de Pâques, 1er mai, 25 décembre;Ouvert du mardi au dimanche de 10h à 18h;
Musée d'Art Naïf Anatole Jakovsky;"Château Ste Hélène
Avenue de Fabron";6200;NICE;Site de la ville : www.nice.fr/Culture/Musees-et-expositions/Musee-d-Art-Naif;1er janvier, Dimanche de Pâques, 1er mai, 25 décembre;Ouvert du mercredi au lundi de 10h à 18h;
Musée Archéologique - Site de  Cimiez;"Site de Cimiez
160, Avenue des Arènes";6000;NICE;www.musee-archeologique-nice.org/ ou www.nice-coteazur.org;1er janvier, dimanche de Pâques, 1er mai, 25 décembre;Ouvert du mercredi au lundi de 10h à 18h;
Musée du Palais Lascaris;15, Rue Droite;6300;NICE;http://www.nice.fr/mairie_nice_131.html;1er janvier, le jour de Pâques, 1er mai, 25 décembre;Ouvert du mercredi au lundi de 10h à 18h;
Musée Archéologique - Site de Terra Amata;25, Boulevard Carnot;6364;NICE Cedex 04;www.musee-archeologique-nice.org;1er janvier, 1er mai, dimanche de Pâques, 25 décembre;Ouvert du mardi au dimanche de 10h à 18h. Ouvert le lundi pour les groupes;
Musée National du Sport;"Boulevard des jardiniers
Stade Allianz-Riviera
CS 43152";6203;Nice Cedex 3;www.museedusport.fr;Ouvert du mardi au dimanche de 11h à 17h.;;
Ecomusée du Pays de la Roudoule;Place des Tilleuls;6260;PUGET-ROSTANG;www.ecomusee-roudoule.fr;Mi-décembre à mi-janvier;Ouvert de mai à septembre du mardi au dimanche de 10h à 12h et 14h à 18h, d'octobre à avril du mardi au vendredi de 10h  à 12h et 14h à 18h sur rendez-vous le week-end;
Musée Départemental des Merveilles;Avenue du 16 Septembre 1947;6430;TENDE;www.museedesmerveilles.com;Du 12 au 24 mars, du 13 au 25 novembre, le 25 décembre, le 1er janvier et le 1er mai;Ouvert du 2 mai au 15 octobre de 10h à 18h30 et du 16 octobre au 30 avril de 10h à 17h;
Musée Magnelli, Musée de la Céramique;Place de la Libération;6220;VALLAURIS;www.vallauris-golfe-juan.fr/musee.php;;Ouvert Du 15 juin au 15 septembre de 10h à 12h et de 14h à 18h et du 16 septembre au 14 juin de 10h à 12h et de 14h à 17h - en juillet-août de 10h à 12h30 et de 14h à 18h30;
Musée Picasso la guerre et la paix à Vallauris;Place de la Libération;6220;VALLAURIS;www.musees-nationaux-alpesmaritimes.fr ou www.musee-picasso-vallauris.fr;1er janvier, le 1er mai,  le 1er novembre, le 11 novembre et le 25 décembre;Ouvert du 15 juin au 14 septembre de 10h à 12h15 et de 14h à 18h - du 15 septembre au 14 juin de 10h à 12h15 et de 14h à 17h;
Musées de la Citadelle;Citadelle de Villefranche sur Mer;6230;VILLEFRANCHE-SUR-MER;www.villefranche-sur-mer.org;Novembre - 1er janvier, 1er mai, 14 juillet matin, 15 août matin, et le 25 décembre;Ouvert d'octobre à mai de 10h à 12h et de 14h à 17h30, et de juin à septembre de 10h à 12h et de 15h à 18h30, en juillet-août de 10h à 12h et de 14h30 à 19h;
Musée du Parlement de Provence et du Vieil Aix;"Hôtel Estienne-de-Saint-Jean
17, Rue Gaston de Saporta";13100;AIX-EN-PROVENCE;www.mairie-aixenprovence.fr/Musee-du-Vieil-Aix;Jours fériés;Ouvert du mercredi au lundi de 13h30 à 17h du 16 octobre au 15 avril, de 13h30 à 17h et du 16 avril au 15 octobre de 10h à 12h30 et de 13h30 à 18h;
Musée Granet;Place Saint-Jean de Malte;13100;AIX-EN-PROVENCE;www.museegranet-aixenprovence.fr;1er janvier, 1er mai, 25 décembre;"Ouvert hors expo du mardi au dimanche de 12h à 18h d’octobre à mai, de 11h à 19h de juin à septembre
Tous les jours de 9h à 19h, les jeudi de 12h à 23h + le samedi jusqu’à 20h en août et septembre";jeudi de 12h à 23h
Musée Paul Arbaud;2 bis rue du Quatre-Septembre;13100;AIX-EN-PROVENCE;www.academiedaix.org;;Ouvert du mardi au samedi de 14h à 17h. Visite de groupe de préférence le matin sur rdv;
Muséum d'Histoire Naturelle;6, Rue Espariat;13100;AIX-EN-PROVENCE;www.museum-aix-en-provence.org;1er janvier, 1er mai,  25 décembre;Ouvert tous les jours de 10h à 12h et de 13h à 17h;
Musée du Pavillon de Vendôme;13, Rue de la Molle;13100;AIX-EN-PROVENCE;www.mairie-aixenprovence.fr/Pavillon-Vendome ou www.museum-aix-en-provence.org;Janvier - 1er mai, 25 et 26 décembre;Ouvert du 15 mars au 15 octobre du mercredi au lundi de 10h à 12h30 et de 13h30 à 18h et du 16 octobre au 14 avril de 13h30 à 17h;
Musée- Atelier de Paul Cézanne;9, Avenue Paul Cézanne;13090;AIX-EN-PROVENCE;www.atelier-cezanne.com;1er janvier, 1er mai, 25 décembre;Ouvert de lundi à dimanche de 10h à 12h et de 14h à 17h jusqu'à 18h de juin à septembre;
Musée des Tapisseries;"Ancien Palais de l'Archevêché
Place des Martyrs-de-la-Résistance";13100;AIX-EN-PROVENCE;;Janvier, 1er mai, 25 décembre;Ouvert du 15 mars au 15 octobre de 10h à 12h30 et de 13h30 à 18h et du 16 octobre au 14 avril de 13h30  à 17h;
Muséon Arlaten;29, Rue de la République;13200;ARLES;www.museonarlaten.fr;1er janvier, 1er mai, 1er novembre, 25 décembre;Ouvert en septembre, avril et mai de 9h30 à 12h et de 14h à 17h30 d'octobre à mars de 9h30 à 12h et de 14h à 16h30 de juin à août de 9h30 à 12h30 et de 14h à 18h;
Musée Camarguais;Mas du Pont de Rousty;13200;ARLES;www.parc-camargue.fr;1er janvier, 1er mai, 25 décembre;Ouvert d'octobre à mars du mercredi au lundi de 10h à 12h30 et de 13h à 17h et d'avril à septembre de 9h à 12h30 et de 13h à 18h;
Musée Réattu;10, Rue du Grand Prieuré;13200;ARLES;www.museereattu.arles.fr;1er janvier, 1er mai, 1er novembre, 25 décembre;Ouvert du mardi au dimanche de juillet à septembre de 10h à 19h et d'octobre à juin de 10h à 12h30 et de 14h à 18h30;
